id,content,year
400,"Victoria Falls at the border of Zimbabwe and Zambia, is classified as the world’s largest waterfall, but after recent drought a climate change researcher told BBC that the disappearance of the falls was a “serious possibility.” December, 2019.__no.0400, 2019. #Africa #climatechange",2019
401,"Detroit River…A shoreline collapse into the river alarms residents as the site, upstream from an intake point, potentially consists of radioactive material from manufacture of uranium rods for The Manhattan Project (World War II era)…and first news reports came days later from a Canadian news source (not U.S.). Late November, 2019.__no.0401, 2019. #Michigan #watercontamination #radioactivecontamination",2019
402,"The Taku Glacier, immediately north of Juneau, Alaska, one of the world’s thickest glaciers, is now succumbing to global warming —Doyle Rice, USA Today, 11-8-2019.__no.0402, 2019.",2019
403,"Banana Island is on Lake Kariba, the largest man-made reservoir in the world, in Zambia, Africa. But Kariba Dam’s power generation has dropped as the Zambezi River basin faces major drought__no.0403, 2019.",2019
404,"Coastal waters Southeast of Brisbane, Queensland, Australia__no.0404, 2019.",2019
405,"The Wollondilly River feeds this large reservoir, Lake Burragorang to the west of Sydney, Australia. There have been massive bushfires in this region of New South Wales and beyond, surpassing previous records__no.0405, 2019.  #globalwarming",2019
406,"Kansas River east of Lawrence, Kansas__no.0406, 2019.",2019
407,"Confluence of the Snake and Buffalo Rivers at Moran, Wyoming, within Yellowstone National Park__no.0407, 2019. ",2019
408,"Todd River flows through Alice Springs, Northern Territory, Australia. But the river, in the center of the country, for the most part, is dry. The temperatures in this summer season are now frequently over 100 degrees Fahrenheit and setting records attributable to climate change__no.0408, 2019.",2019
409,"Melchior Islands, Antarctic Peninsula. The archipelago consists of Omega Island, Lambda Island, and Eta Island__no.0409, 2019. #Antarctica",2019
410,"Port Dolomite on Lake Huron’s northern shore, Michigan’s Upper Peninsula. (Dolomite is a magnesium-rich variation of limestone.)__no.0410, 2019. #Michigan #GreatLakes #LakeHuron",2019
411,"Sturgeon Bay, Lake Michigan, at Wilderness State Park on Michigan’s lower peninsula__no.0411, 2019.  #Michigan #GreatLakes",2019
412,"Oodnadatta, a South Australian outback town, has notoriously high summer temperatures, increasing with climate change. The region has occasional springs arising from the Great Artesian Basin, one of the largest underground fresh water reservoirs in the world__no.0412, 2019. #Australia",2019
413,"Waiska Bay on southeastern Lake Superior, at Michigan’s Upper Peninsula north coast__no.0413, 2019. #Michigan #GreatLakes",2019
414,"Allegheny River at the mouth of Oil Creek, in Oil City, Pennsylvania, known for its prominence in the initial exploration and development of the petroleum industry (1861).__no.0415, 2019.",2019
415,"St. Louis River, southwest of Duluth, Minnesota, on the border with WIsconsin__no.0415, 2019.",2019
416,"Mekong River at Mekong Delta at the East Vietnam Sea. Heavy dredging for sand along several delta rivers are affecting the ecology of the region. Most sand is being used by China for expanding infrastructure and land extension__no.0416, 2019. #MekongDelta #Asia",2019
417,"Dong Nai Biosphere Reserve, a UNESCO site in Dog Nai province in southeast Viet Nam. The plateaux of the central Vietnamese highlands give way to the Nam Bo Delta with mountains and lowland rivers, streams, scattered lakes, ponds and wetlands__no.0417, 2020. #VietNam #Asia",2020
418,"Lagoa do Araras (means Lagoon of the Macaws) is next to the Negro River, a major tributary to the Amazon, so named because the waters are dark (“black”) from decaying vegetation__no.0418, 2020. #Brazil #SouthAmerica",2020
419,"Rivers at Belem on the northern coast of Brazil, barely south of the equator, and part of the vast Amazon River delta region__no.0419, 2020. #SouthAmerica",2020
420,"Rivers Furo Santa Maria and Cupijo, southwest of Belem, State of Para, Brazil__no.0420, 2020. #SouthAmerica",2020
421,"Iriri River in State of Para, Brazil__no.0421, 2020. #SouthAmerica",2020
422,"Amazon River at Macapa, near the Atlantic. The Amazon accounts for about one-fifth of the world’s total river flow__no.0422, 2020.  #SouthAmerica #Brazil",2020
423,"Walden Pond, Concord, Massachusetts, two-year home of essayist, poet, and philosopher Henry David Thoreau, is a famous example of a “kettle hole” formed by retreating glaciers 10,000 - 12,000 years ago__no.0423, 2020.  ",2020
424,"California’s Monterey Bay shellfish are being threatened by rising ocean acidity at twice the rate of the global average, affecting coral, clams, mussels, and scallops. (new NOAA study)__no.0424, 2020.  #California #oceanacidification",2020
425,"The Platte River joins the Missouri River just north of Plattsmouth, Nebraska, where the wastewater treatment plant has been offline for 10 months since 2019 flooding, causing untreated sewage to directly enter the Missouri River__no.0425, 2020.  ",2019
426,"Peace River at Deep Creek between a phosphate mine and Punta Gorda, Florida__no.0426, 2020.  #GulfofMexico #waterrisk",2020
427,"The Runit Dome is a concrete structure at Runit Island (Enewetak Atoll) in the Pacific Marshall Islands. The 18 inch thick dome was built to seal in nuclear waste from atomic testing, but there is evidence that it’s failing as sea levels rise. The domed previously volcanic crater was not lined as this was intended as a temporary solution…in 1977.__no.0427, 2020.  #PacificOcean #risingwaters ",1977
428,"Southwest coast of “Middle Caicos,” Turks and Caicos Islands, a British overseas territory east of Cuba..an archipelago of 40 low-lying coral islands in the Atlantic Ocean, where, currently, unknown disease is threatening coral reefs__no.0428, 2020. #diseasedcoralreefs ",2020
429,"Southwest shoreline of “North Caicos,” Turks and Caicos Islands north of Haiti and the Dominican Republic in the Caribbean__no.0429, 2020.  ",2020
430,"The Jacui River flows into the Guaiba River at Porto Alegre, in southern Brazil__no.0430, 2020. #SouthAmerica ",2020
431,"Rio Parana de las Palmas river delta at Isla Lucia, north of Buenos Aires, Argentina__no.0431, 2020. #SouthAmerica",2020
432,"Mississippi River at the convergence with St. Francis River and near Tunica Lake, an oxbow, and Austin, Mississippi a once thriving shipping port__no.0432, 2020.",2020
433,"Waters near Sanderson Point, Lost Creek Township, Missouri, Mark Twain National Forest__no.0433, 2020.",2020
434,"Arkansas River southeast of Tulsa, Oklahoma__no.0434, 2020. ",2020
435,"Arkansas River northwest of Wichita. (Pronounced Ar-Kansas in Kansas.) “As groundwater levels have fallen in recent years, the river in parts of western Kansas is dry much of the time:”—KU/Kansas Geological Survey__no.0435, 2020. #Kansas #shrinkingaquifer",2020
436,"Lake Sequoyah Park, east of Fayetteville in Northwest Arkansas__no.0436, 2020.",2020
437,"Tonle Sap River in Cambodia originates in the vast Tonle Sap Lake, southeast Asia’s largest freshwater lake. The river feeds into the Mekong River at Phnom Penh, Cambodia’s capital, on it’s way to the massive and fragile delta region__no.0437, 2020. #Asia",2020
438,"Skiatook Lake on the Osage Reservation (also Osage County) northwest of Tulsa, Oklahoma, is a federally-operated U.S. reservoir popular for fishing and water recreation__no.0438, 2020. #reservations ",2020
439,"Quitobaquito Springs, within Organ Pipe Cactus National Monument in Arizona, the only naturally occurring source of fresh water for miles. Nearby, contractors at the border with Mexico are drilling into the ground and draining water from a nearby, rare desert aquifer in order to mix concrete to support a towering 30-foot barrier along the U.S/Mexico divide. (Feb. 2020)__no.0439, 2020.  #borderwall #aquifers",2020
440,"Waters at “Happy Hollow” on the St. Francis River in Mark Twain National Forest in southeast Missouri__no.0440, 2020.",2020
441,"Waters in the southeast region of Mark Twain National Forest in southeast Missouri__no.0441, 2020.",2020
442,"Lake Wimico and surrounding lands in the Florida Panhandle were purchased by conservationists, with Deepwater Horizon funds, serving to help protect the water quality of the highly productive Apalachicola River, Apalachicola Bay, and the Gulf of Mexico__no.0442. 2020.",2020
443,"Santa Rosa Sound at Santa Rosa Island near Fort Walton Beach, Florida__no.0443, 2020. #GulfofMexico #Floridapanhandle",2020
444,"Lakes east of Sandestin, Florida, on the shore of Choctawhatchee Bay and north of the Gulf of Mexico_no.0444, 2020. #Floridapanhandle",2020
445,"AZCentral.com: Dec. 27th, 2019: “Megafarms and deeper wells are draining the water beneath rural Arizona - quietly, irreversibly.” Ian James and Rob O’Dell, Arizona Republic…”Some areas of the state have dropped so much that the water likely won’t naturally recover in our lifetimes…The average well in the Gila Bend basin has dropped by 62 feet”__no.0445, 2020. #groundwater #waterlevels #aquifers #Southwest",2019
446,"“The Bingham Canyon Mine, the largest open pit (copper) mine in the United States, will generate water pollution in perpetuity from the mine’s waste rock piles. Mine operations have resulted in a plume of contaminated groundwater extending over 70 square miles…”—Earthworks__no.0446, 2020. #coppermining #coppermines #openpitmining #groundwatercontamination #toxicminerals #waterpollution #Utah",2020
447,"Mississippi’s Pascagoula River at the Gulf of Mexico. Known as “the singing river” the Pascagoula is the largest undammed river in the contiguous 48 states, with protections from various conservation agencies__no.0447, 2020. #Mississippi #GulfofMexico",2020
448,"Colorado River at the Little Colorado River confluence on the eastern edge of Grand Canyon National Park in Arizona. The 2020 Google Earth map showed the Little Colorado to be dry at and near the point of the confluence__no.0448, 2020. #Southwest",2020
449,"Antarctica’s Base Marambio on Seymour Island at a continental peninsula, measured temperatures above 20C (68F) for the first time on record on February 9, 2020.__no.0449, 2020. #Antarctica #risingtemperatures #climatechange",2020
450,"Scattered lakes and ponds east of Lakeland, Florida, echo the many parts of the state where the water table is close to the surface and the underlying rock, often limestone structure, is porous. This Tampa region is part of what is referred to as “sinkhole alley.”__no.0450, 2020. #sinkholes",2020
451,"Guantanamo Bay, southeastern coast, Cuba__no.0451, 2020.",2020
452,"Upper reaches of the Pascagoula River in Mississippi, including Peafield Bayou (just out of sight) and Sandy Bayou__no.0452, 2020.",2020
453,"Flooded Pearl River below Ross B. Barnett Reservoir, Jackson, Mississippi, Feb. 2020.__no.0453, 2020. ",2020
454,"Water channels in neighborhoods near Pascagoula, Mississippi__no.0454, 2020. #canals",2020
455,"Lake Pontchartrain and the shallow, brackish Lake Maurepas, north of the Mississippi River at New Orleans, are connected by Pass Manchac__no.0455, 2020. ",2020
456,"Beauregard Island in Bay des Ilettes south of New Orleans__no.0456, 2020.  #Mississippi Mississippidelta",2020
457,"River Thames at England’s Kew Gardens, The Royal Botanic Garden__no.0457, 2020. #England #Europe",2020
458,"Loch Lomond and The Trossachs National Park in southwest Scotland__no.0458, 2020. #Europe  ",2020
459,"Inlet at East Mersea, United Kingdom, at the North Sea. It leads north to Colchester and Colchester Castle__no.0459, 2020. #Europe",2020
460,"The Swale, a branch of the River Medway estuary, gives its name to the surrounding district south of the Thames estuary. Land on either side of The Swale is marshland with both salt marsh and freshwater aquatic vegetation that extends the length of the district__no.0460, 2020. #England #Europe",2020
461,"Lower Lough Erne in Northern Ireland, near Derrygonnelly, Blaney and Killadeas. (“Lough” rhymes with “clock”… is “Lake.”)__no.0461, 2020. #Europe   ",2020
462,"Lakes shaped by the last Ice Age in County Cavan, Ireland__no.0462, 2020. ",2020
463,"River Yare west of Burgh Castle and Great Yarmouth on England’s east coast__no.0463, 2020.  #England #Europe",2020
464,"Uatuma River waters behind Balbina Dam, north of Manaus, Brazil…”the worst hydroelectric power plant in the world.”  As a result of the methane released from its vast reservoir proportional to its output, the Balbina Dam emits more greenhouse gases than most coal plants__no.0464, 2020.  #SouthAmerica",2020
465,"Gila River at Cottonwood Wash in southeast Arizona is one of the longest rivers in the west, but it’s now typically drained dry before getting halfway through its 500-mile voyage west to the Colorado River at Holbrook, Arizona__no.0465, 2020. #watershortage #Southwest",2020
466,"Little Colorado River at Holbrook, Arizona__no.0466, 2020. #Southwest",2020
467,"The San Pedro River is an unusual northward-flowing stream originating in the Sierra Manzanal Mountains about 10-15 miles south of the U.S./Mexico border south of Sierra Vista, Arizona…”The San Pedro River’s cottonwood-shaded corridor provides critical stopover habitat for millions of migrating birds each year.” (The Nature Conservancy)__no.0467, 2020.  #Southwest #birdmigration #criticalhabitat",2020
468,"Gila River in southeast Arizona, here at “Peck Wash” (“wash”: dry creek, stream bed, gulch, with seasonal flow after a rain)__no.0468, 2020. ",2020
469,"Missouri River west of Lewis and Clark Lake along the South Dakota/Nebraska border. The reservoir is impounded by Gavins Point Dam, managed by the Army Corps of Engineers__no.0469, 2020.",2020
470,"The Big Sioux River joins the Missouri River at Sioux City, Iowa, marking the border of the southeast corner of South Dakota with Iowa to the east and Nebraska to the south__no.0470, 2020. ",2020
471,"DeSoto Lake is an “oxbow lake,” formed by the nearby Missouri River north of Omaha, Nebraska__no.0471, 2020.",2020
472,"The Platte River and a designed waterside community east of Morse Bluff, Nebraska__no.0472, 2020.",2020
473,"Skull Creek enters Nebraska’s Platte River west of North Bend and Morse Bluff__no.0473, 2020.",2020
474,"Platte River east of Columbus Nebraska near Edholm. A French explorer named the river ‘Nebraskier’ after its Oto name meaning “flat river.” The French later applied the French word plate (meaning flat, and pronounced plat, or platte) to the river__no.0474, 2020.",2020
475,"Nebraska’s North Loup River and Middle Loup River meet up at Loup Junction State Wildlife Management Area near Cushing__no.0475, 2020.",2020
476,"The Platte River southwest of Kearney, Nebraska…”Shallow channels of water weave around sandy islands along the 310-mile course of the Platte River through Nebraska.”—NASA Earth Observatory, 2003.__no.0476. ",2003
477,"Missouri River at Bee Creek on the southern border of Weston Bend State Park in northwest Missouri__no.0477, 2020.",2020
478,"Nodaway River and unnamed tributary in northwest Missouri__no.0478, 2020.",2020
479,"Missouri River south of Williston, North Dakota. This region has seen a boom in oil and gas extraction activity to the north and south of the river. This is slowing as global prices decline__no.0479, 2020. #oilfields #BakkanFormation #WillistonBasin #oilboom #pollutionrisk",2020
480,"Missouri River at Lower Hamburg Bend Conservation Area, west of Hamburg, Iowa…one of many riverside regions affected by dramatic flooding in 2019.__no.0480, 2020. #MissouriRiverfloods",2019
481,"Big Blue River flooding at Blue Rapids, Kansas, 2019. The Big Blue feeds into Tuttle Creek Reservoir to the south supporting Manhattan, Kansas, and the surrounding region__no.0481, 2020.",2019
482,"The Yellowstone River flows into the Missouri River in northwest North Dakota__no.0482, 2020.",2020
483,"The Missouri River feeds agricultural enterprise southeast of Pierre, South Dakota__no.0483, 2020.",2020
484,"The Knife River meets the Missouri River at Stanton, North Dakota__no.0484, 2020.",2020
485,"Water configuration on Missouri River south of Bismarck, North Dakota__no.0485, 2020.",2020
486,"Tumen River at the intersection of North Korean, Chinese and Russian borders (!)__no.0486, 2020. #Asia #Riverintersection",2020
487,"Unnamed lake/reservoir in northern South Korea__no.0487, 2020.  #Asia",2020
488,"Planned waterside living near Doniphan, Nebraska, just south of the Platte River and of Grand Island. Neighborhood street names include Monument Drive, Leisure Drive, and Island Drive__no.0488, 2020.  #watersideliving",2020
489,"Lpsok reservoir in North Korea. Details unknown__no.0489, 2020. #Asia",2020
490,"Taedong River at Bukchang Concentration Camp in North Korea__no.0490, 2020. #Asia",2020
491,"Covid-19 virus. Stay-at-home orders start March 23rd, 2020__no.0491, 2020. #pandemic",2020
492,"River delta border between South Korea and North Korea, north of Seoul, South Korea__no.0492, 2020. #Asia",2020
493,"Nen River in northern China__no.0493, 2020.  #Asia",2020
494,"The Yangtze River delta at Shanghai, China, where waters flow into the Yellow Sea and the (contested) East China Sea, which is shared among the People’s Republic of China, Japan and South Korea__no.0494, 2020. #Asia",2020
495,"Sheshui River flows into the Yangtze River in Wuhan, China__no.0495, 2020. #Asia",2020
496,"Keti Bunder South Wildlife Sanctuary, slightly inland of the Gulf of Oman, south of Karachi, Pakistan__no.0496, 2020.",2020
497,"Sabarmati River, south of Ahmedabad, India….Headline, one year ago, April, 2019: “Sabarnati, the river that Gandhi once chose to live by is now dry and polluted.”  —mongabay.com  __no.0497, 2020.  #Asia #pollutedwaters #climatechange #waterdiversion #cleanwater",2019
498,"Brahmaputra River at the border of Bangladesh and East India__no.0498, 2020. #Asia",2020
499,"Waters of the Buriganga River are modified to support multiple brick-making facilities in western Dhaka, Bangladesh__no.0499, 2020. #Asia ",2020
500,"Upper Meghna River, in Bangladesh, Northeast of Dhaka…One of the three rivers that eventually form the Ganges Delta, the largest delta in the world, at the Bay of Bengal__no.0500, 2020. #Asia",2020
501,"Meghna River branches southwest of Faridganj, Bangladesh__no.0501, 2020. #Asia",2020
502,"Meghna River branches southeast of Dhaka, Bangladesh__no.0502, 2020. #Asia",2020
503,"Karnaphuli River forms Bangladesh’s largest lake and only hydroelectric power source at Kaptai Dam__no.0503, 2020. #Asia",2020
504,"Pashur River at Dhangmari, Bangladesh…”In Bangladesh and the neighboring Indian state of West Bengal, there are thousands of villages like East Dhangmari—places that are losing their natural defenses against climate change just as it is intensifying. The land is paper-flat and crisscrossed by rivers bulging with meltwater from the Himalaya. Cyclones frequently roar in off the Bay of Bengal, sometimes killing thousands. Flooding is pervasive.”—National Geographic, March 2020.__no.0504, 2020. #Asia #India",2020
505,"River TIber north of Rome, Italy__no.0505, 2020.  #Europe",2020
506,"Taranto, Italy, is called “the city of the two seas” with Mar Grande (Big Sea) the commercial port and Mar Piccolo ( Little Sea) the fishing and military port__no.0506, 2020. #Europe",2020
507,"Fiume Agri  (Agri River) in southern Italy__no.0507, 2020. #Europe",2020
508,"Yukon River in Yukon territory, near the Capstone Minto (copper-gold) Mine northeast of Whitehorse, Alaska__no.0508, 2020. #miningregion",2020
509,"Yukon River northwest of Whitehorse, Alaska, at the Ingersoll Islands__no.0509, 2020.",2020
510,"The Ionian Sea at Montegiordano Marina on the coast of southern Italy__no.0510, 2020. #Europe",2020
511,"Fiume Paglia near Monterubiaglio, Italy__no.0511, 2020. #Europe",2020
512,"Adriatic Sea at the port city of Brindisi in southern Italy, where primary trade is with Greece and the Middle East__no.0512, 2020.  #Europe",2020
513,"Trigno River at the confluence with Treste River, south of Vasto on Italy’s east coast__no.0513, 2020. #Europe",2020
514,"San Francisco Bay South Basin at Hunter’s Point Shipyard and Superfund site containing 100 cubic yards of the most toxic elements listed by the EPA__no.0514, 2020. #California #Pacificcoast #toxicmaterials",2020
515,"Sinni River and tributaries in southern Italy__no.0515, 2020. ",2020
516,"Magra River near Barbarasco in northern Italy_no.0516, 2020.  ",2020
517,"The Fiume Nica meets Torrente Acero in this picturesque region of southern Italy__no.0517, 2020. #Europe",2020
518,"Fiumara Amendolea (river) near Galliciano, Italy, on the edge of the Aspromonte Mountains and at the “toe” of the boot-shaped peninsula that is Italy!__no.0518, 2020. #Europe",2020
519,"Fiumara Alaca, southwest of Soverato Marina, Italy, on the Ionian Sea__no.0519, 2020. ",2020
520,"Po River near Cervesina, France, Lombardy region, southwest of Milan, Italy__no,0520, 2020. #Europe",2020
521,"Islands at the mouth of the North River in North Carolina, near the Rachel Carson Estuarine Reserve__no.0521, 2020. #Eastcoast #SilentSpring",2020
522,"Lower White Oak River in eastern North Carolina is an estuary environment rich in clams. This region allows for mechanical harvesting of clams during certain parts of the year__no.0522, 2020.  #Eastcoast ",2020
523,"Cape Fear River and Intracoastal Waterway near Southport, Delaware, at U.S. Atlantic coast__no.0523. 2020. #Eastcoast",2020
524,"Foster Creek feeds into the Wando River north of Mt. Pleasant, South Carolina__no.0524, 2020. #Eastcoast",2020
525,"The Little Pee Dee River meets the Great Pee Dee River in Waccamaw National Wildlife Refuge in South Carolina__no.0525, 2020. #Eastcoast  ",2020
526,"Blackbeard Creek in Georgia at the Atlantic Ocean__no.0526, 2020. #Eastcoast",2020
527,"Upper reaches of Blackbeard Creek in Georgia at Eulonia__no.0527, 2020. #Eastcoast",2020
528,"Tennessee River west of Florence, Alabama…to celebrate a native woman, a member of the Euchee (also “Yuchi”) Tribe in eastern Tennessee River Valley, who, with her people, was forced to follow the Trail of Tears to Oklahoma. She missed her home and her “singing river” and over five years she retraced her steps as the river sang her home to her birthplace… commemorated in “Singing River” by musician Linda McRae from her album “Going to the Well.”__no.0528, 2020. #NativeAmerican #SingingRiver #Home",2020
529,"In the Pacific there is an underwater mountain ridge extending from Hawaii to the northwest toward Japan. In May of 2020 came an announcement that Puhahonu, a volcano largely buried beneath ancient coral reefs, and part of this chain, is officially the world’s largest volcano based on new measurements of its way-below-sea-level base.. (Approx. 525 miles NW of Hawaii.) (13 Million years old). (Puhahonu means “turtle rising for breath” in Hawaiian.)__no.0529, 2020. #PacificOcean",2020
530,"Goose Lake in Moabi Regional Park, in Mojave County, Arizona, alongside the Colorado River at the Arizona/California border__no.0530, 2020. #Southwest",2020
531,"The Java Sea is slowly eating away at the island of Java in the multi-island nation of Indonesia. Java is sinking because of intense groundwater extraction, the destruction of mangroves and rising sea levels due to climate change__no.0531, 2020. #subsidence #groundwaterextractiion",2020
532,"Spring Valley Lake in the city of Roanoke, Virginia, is one of a series of small creek fed lakes. Heavy rains in late May, 2020, sparked fears that the dam would fail__no.0532, 2020.",2020
533,"Altamaha River, east of Madray Springs, Georgia__no.0533, 2020.",2020
534,"Altamaha River at Wolf Island National Wildlife Refuge (Georgia) on the Atlantic Ocean__no.0534, 2020. #Eastcoast",2020
535,"Upstream Oyster Creek between Bull River and South Channel Savannah River, at the Savannah, Georgia, shore__no.0535, 2020.  #Eastcoast",2020
536,"Norway’s Otta River at Lendbreen ice patch where melting ice has revealed more than 1,000 artifacts dating around 300 - 1500 A.D., telling the story of a mountain pass that served as a vital corridor for travel…NOTE: An ice patch, unlike a glacier, does not move, thus the artifacts are not damaged by shifts in ice layers__no.0536, 2020. #Norway #Europe #discovery",2020
537,"Tittabawassee River at Edenville Dam, Michigan: “Dam Failure Threatens a Dow Chemical Complex and Superfund Cleanup”—New York Times, Hiroko Tabuchi, May 20, 2020… “Floodwaters from two breached dams in Michigan on Wednesday flowed into a sprawling Dow chemical complex and threatened a vast Superfund toxic-cleanup site downriver, raising concerns of wider environmental fallout from the dam disaster and historic flooding… Over the years the Dow complex has manufactured a range of products including Saran Wrap, Styrofoam, Agent Orange and mustard gas. Over time, Dow released chemicals into the water, leading to dioxin contamination stretching more than 50 miles along the Tittabawassee and Saginaw Rivers and into Lake Huron.”__no.0537, 2020.#GreatLakes #watercontamination #waterpollution #toxicchemicals #Superfundsite #floodwaters #flooding ",2020
538,"Rivers south of Saginaw, Michigan, converge before flowing toward Lake Michigan. One of them, the Tittabawassee, carries flood waters exposed to landfill and Super Fund sites heavily laced with contaminants from Dow Chemical, headquartered upriver in Midland, Michigan. (May, 2020).__no.0538, 2020. ",2020
539,"Mississippi River at Angola, Louisiana, home of Louisiana State Penitentiary, the largest maximum security facility in the U.S., surrounded by water and swamp on 3 sides. Staff members live on site. It is named after the home country of the slaves who used to work the land in it’s plantation days__no.0540, 2020. ",2020
540,"Missouri River at Bee Creek, southern border of Weston Bend State Park at Weston, Missouri, in western Missouri__no.0540, 2020.",2020
541,"Unknown river at “roughly 850 miles East of Mexico City” in the Tabasco state where a newly discovered huge earthen platform dating back 3,000 years is the now the largest and oldest known Mayan monument. June 3, 2020…image derived from “a three-dimensional image of the ancient Maya Aguada Fenix site based on lidar, an aerial remote-sensing method.”__no.0541, 2020.  #archeology #Mayanculture",2020
542,"Gunnison River, south of Orchard City, Colorado…”This cluster of counties on Colorado’s Western Slope—along with three counties just across the border in eastern Utah—has warmed more than 2 degrees Celsius, double the global average. Spanning more than 30,000 square miles, it is the largest 2C hot spot in the Lower 48” a Washington Post analysis found. …”This giant climate hot spot is robbing the West of its water” by Juliet Eilperin, Aug. 7, 2020.__no.0542, 2020. #Colorado #Utah #globalwarming #watershortages",2020
543,"The Milne Ice Shelf is at the fringe of Ellesmore Island, in far northern Canada. “Canada’s last fully intact Arctic ice shelf has collapsed, losing more than 40% of its area in just two days at the end of July.”—Reuters, early August, 2020.__no.0543, 2020.  #icecollapse",2020
544,"Canals of Cape Coral, Florida, are fighting increasing algae and weed growth from runoff of lawn fertilizer rich in nutrients__no.0544, 2020.  #fertilizerrunoff #GulfofMexico",2020
545,"Dill Creek and marshland on James Island in Charleston, South Carolina where 3,100 gallons of diesel fuel was spilled into the marsh from an above-ground tank at the Plum Island Wastewater Treatment plant mid-August, 2020.__no.0545, 2020. #watercontamination #marshland",2020
546,"Badwater Basin in Death Valley, California is the lowest point in North America. On Sunday, August 16th, 2020, Death Valley had an unverified temperature of 130 degrees Fahrenheit, the hottest in the world since 1913 (134 degrees, also in Death Valley).__no.0546, 2020.  #Hot  #Heat",2020
547,"Amazon River at Macapa, Brazil, near the “delta,” though it is not a true delta region because the turbulent Atlantic carries most of the river’s sediment out to sea__no.0547, 2020. #SouthAmerica",2020
548,"Amazon River at Almeirim, Brazil, northernmost city in the state of Para, at the equator__no.0548, 2020. #SouthAmerica",2020
549,"Big Sioux River at the Iowa and South Dakota border, in the U.S.__no.0549, 2020. ",2020
550,"Maule River, downriver from Colbun Hydroelectric Dam and Power Plant, northeast of Linares, Chile, captures rainfall and melting snowpack from Andes mountains__no.0550, 2020. #SouthAmerica",2020
551,"Andelien River, here at the Pacific coast of Chile on The Bay of Concepcion__no.0551, 2020. #SouthAmerica ",2020
552,"Biobio River at Tricauco, in the Biobio region of Chile and south of the major city of Concepcion__no.0552. 2020. #SouthAmerica",2020
553,"Pacific waters off the coast of Chile in South America flow through the Guaitecas Archipelago of more than 40 islands and islets scattered between the Moraleda channel and the Pacific ocean. Blue whale and humpback whales have been spotted in nearby Corcovado National Park waters__no.0553, 2020.",2020
554,"Turner Lake is in northern Saskatchewan, Canada__no.0554. 2020.",2020
555,"Churchill Lake is a glacial lake at Buffalo Narrows in northwest Saskatchewan, Canada__no.0555, 2020.",2020
556,"Mississippi River lowlands on the Illinois side of the Illinois/Iowa border at Bellevue State Park Dyas Unit Campground__no.0556, 2020.",2020
557,"Mississippi River at Missouri’s Clarence Cannon National Wildlife Refuge, located in the floodplain of the river and home to waterfowl, wading birds, shorebirds and songbirds…near Annada, Missouri__no.0557, 2020. ",2020
558,"The Wapsipinicon River in Iowa, a tributary of the Mississippi River, drains a rural farming region of rolling hills and bluffs north of Waterloo and Cedar Rapids__no.0558, 2020.",2020
559,"Mississippi riverbottom on the Iowa side of the river, at Savanna, Illinois__no.0559, 2020.",2020
560,"Mississippi River at Guttenberg, Iowa__no.0560, 2020.",2020
561,"A cluster of “kettle lakes” west of Minneapolis, Minnesota. The Great Lakes and the lakes in Minnesota were formed as glaciers receded during the last ice age.  Approximately 15,000 years ago to about 9,000 years ago, glaciers alternately retreated and advanced over the landscape, carving out holes and leaving behind ice chunks…Lakes formed in this way are called kettle lakes__no.0561, 2020.  #kettlelakes #iceage",2020
562,"Nile River north of Dongola, Sudan, on the northeast African continent where yearly seasonal rains in the Ethiopian highlands prompt annual summer floods on the Nile River. But this cycle which can feed the agricultural needs of the Nile River basin has this year been devastating__no.0562, 2020. #NileRiver #flooding",2020
563,"The Crow River enters the Mississippi River at Dayton in south central Minnesota__no.0563, 2020.  ",2020
564,"Snake Hole Creek on Iona Island, Hudson River, New York. “Iona Island is one of the largest tidal wetlands along the Hudson, with about 270 acres of freshwater and brackish cattail marshes.”—Iona Island National Estuarine and Research Reserve, New York State Department of Environmental Conservation__no.0564, 2020. ",2020
565,"Sleepy Hollow Lake, Green County, New York, is both a recreational lake and residential community 120 miles north of New York City and 28 miles southeast of Albany in the Hudson River Valley__no.0565, 2020.",2020
566,"Missisquoi River empties into Lake Champlain’s Mississquoi Bay in far northwestern Vermont only a few miles south of the Canadian border__no.0566, 2020.",2020
567,"Delaware River at Callicoon Creek defines the New York/Pennsylvania state border__no.0567, 2020.",2020
568,"Missisquoi River at North Troy, Vermont__no.0568, 2020.",2020
569,"Soft Maple Reservoir, upstate New York__no.0569, 2020.",2020
570,"Soft Maple Reservoir, upstate New York__no.0570, 2020.",2020
571,"Republican River at Milford Reservoir, north central Kansas__no.0571, 2020.",2020
572,"Mexico’s Conchos River at Boquilla Tendida and Mijares. The region is particularly dry and farmers are protesting contractual (1944 Water Treaty) release of water at Conchos Reservoir into the river toward the Rio Grande and the U.S for U.S. agricultural irrigation purposes, as well as drinking water for both U.S. and Mexican communities. Conversely, Mexico is allowed an allotment from the Colorado River to the west__no.0572, 2020. #watertreaty #RioGrande #agriculturalirrigation ",1944
573,"Rio Conchos and La Boquilla Dam, southwest of Camarga, Mexico, in the Mexican state of Chihuahua. “Farmers hold out at seized Mexican dam as tensions build.”—AP, Sept. 11, 2020.__no.0573, 2020.  #waterconflict #waterrights",2020
574,"Smoky Hill River at Saline River northeast of Salina, Kansas__no.0574, 2020.",2020
